oracle,seed,auc_top10,final_top10,n_molecules_total,n_molecules_budget,yaml_file,csv_file
albuterol_similarity,0,0.9201934789338948,1.0,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_albuterol_similarity_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/albuterol_similarity_0.csv
amlodipine_mpo,0,0.8015669209921154,0.8369933669718869,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_amlodipine_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/amlodipine_mpo_0.csv
celecoxib_rediscovery,0,0.8113633779335765,0.885582675933553,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_celecoxib_rediscovery_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/celecoxib_rediscovery_0.csv
deco_hop,0,0.9592175721512938,0.9927804100749731,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_deco_hop_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/deco_hop_0.csv
drd2,0,0.9948077992733896,0.9999999997546645,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_drd2_current_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/drd2_0.csv
fexofenadine_mpo,0,0.8298816065225217,0.8632387946220967,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_fexofenadine_mpo_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/fexofenadine_mpo_0.csv
gsk3b,0,0.966575,0.9850000000000001,3800,3800,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_gsk3b_current_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/gsk3b_0.csv
isomers_c7h8n2o2,0,0.9319324431773246,1.0,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_isomers_c7h8n2o2_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/isomers_c7h8n2o2_0.csv
isomers_c9h10n2o2pf2cl,0,0.8170991227956236,0.8701832408950183,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_isomers_c9h10n2o2pf2cl_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/isomers_c9h10n2o2pf2cl_0.csv
jnk3,0,0.9133399999999999,0.9299999999999999,10000,10000,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/results_GenMol_jnk3_current_0.yaml,/share/home/tm866079609100000/a875465180/yqw_bd3lms/genmol/scripts/exps/pmo/main/genmol/results/jnk3_0.csv
